,date,application_date,application_received,application_evaluation,certificate,manager_review_data,interview_date,offer_date
281,2020-05-08,0.0,0.0,150.0,0.0,0.0,0.0,0.0
282,2020-05-09,0.0,150.0,150.0,600.0,545.0,0.0,0.0
283,2020-05-10,0.0,0.0,0.0,150.0,137.0,0.0,0.0
284,2020-05-11,0.0,0.0,0.0,150.0,136.0,0.0,0.0
285,2020-05-12,0.0,0.0,450.0,150.0,137.0,0.0,0.0
286,2020-05-13,0.0,0.0,150.0,0.0,0.0,273.0,0.0
287,2020-05-14,0.0,0.0,150.0,0.0,0.0,0.0,0.0
288,2020-05-15,0.0,0.0,150.0,227.0,206.0,0.0,0.0
289,2020-05-16,0.0,0.0,150.0,0.0,0.0,0.0,0.0
290,2020-05-17,0.0,0.0,0.0,223.0,203.0,0.0,0.0
291,2020-05-18,0.0,0.0,0.0,150.0,136.0,0.0,0.0
292,2020-05-19,0.0,0.0,115.0,150.0,136.0,0.0,0.0
293,2020-05-20,0.0,0.0,336.0,150.0,137.0,477.0,0.0
294,2020-05-21,0.0,0.0,150.0,150.0,136.0,0.0,0.0
295,2020-05-22,0.0,0.0,150.0,0.0,0.0,0.0,0.0
296,2020-05-23,0.0,0.0,150.0,0.0,0.0,0.0,0.0
297,2020-05-24,0.0,0.0,150.0,450.0,409.0,0.0,0.0
298,2020-05-25,0.0,0.0,150.0,150.0,137.0,272.0,0.0
299,2020-05-26,0.0,0.0,150.0,150.0,136.0,68.0,0.0
300,2020-05-27,0.0,0.0,150.0,150.0,136.0,68.0,0.0
301,2020-05-28,0.0,0.0,150.0,150.0,137.0,68.0,0.0
302,2020-05-29,0.0,0.0,150.0,0.0,0.0,0.0,0.0
303,2020-05-30,0.0,0.0,150.0,0.0,0.0,0.0,0.0
304,2020-05-31,0.0,0.0,0.0,115.0,104.0,0.0,0.0
305,2020-06-01,0.0,0.0,150.0,336.0,306.0,273.0,0.0
306,2020-06-02,0.0,0.0,0.0,150.0,136.0,68.0,0.0
307,2020-06-03,0.0,0.0,0.0,150.0,136.0,68.0,0.0
308,2020-06-04,0.0,0.0,0.0,150.0,137.0,69.0,0.0
309,2020-06-05,0.0,0.0,0.0,150.0,136.0,0.0,0.0
310,2020-06-06,0.0,0.0,0.0,150.0,136.0,0.0,0.0
311,2020-06-07,0.0,0.0,0.0,150.0,137.0,103.0,0.0
312,2020-06-08,0.0,0.0,0.0,150.0,136.0,0.0,0.0
313,2020-06-09,0.0,0.0,0.0,150.0,137.0,101.0,0.0
314,2020-06-10,0.0,0.0,0.0,150.0,136.0,68.0,0.0
315,2020-06-11,0.0,0.0,0.0,150.0,136.0,68.0,0.0
316,2020-06-12,0.0,0.0,0.0,0.0,0.0,69.0,0.0
317,2020-06-13,0.0,0.0,0.0,150.0,138.0,68.0,0.0
318,2020-06-16,0.0,0.0,0.0,0.0,0.0,204.0,0.0
319,2020-06-17,0.0,0.0,0.0,0.0,0.0,69.0,0.0
320,2020-06-18,0.0,0.0,0.0,0.0,0.0,68.0,0.0
321,2020-06-19,0.0,0.0,0.0,0.0,0.0,68.0,0.0
322,2020-06-20,0.0,0.0,0.0,0.0,0.0,68.0,0.0
323,2020-06-23,0.0,0.0,0.0,0.0,0.0,53.0,0.0
324,2020-06-24,0.0,0.0,0.0,0.0,0.0,153.0,0.0
325,2020-06-25,0.0,0.0,0.0,0.0,0.0,68.0,0.0
326,2020-06-26,0.0,0.0,0.0,0.0,0.0,68.0,0.0
327,2020-06-27,0.0,0.0,0.0,0.0,0.0,68.0,0.0
328,2020-06-28,0.0,0.0,0.0,0.0,0.0,68.0,0.0
329,2020-06-29,0.0,0.0,0.0,0.0,0.0,68.0,0.0
330,2020-06-30,0.0,0.0,0.0,0.0,0.0,69.0,0.0
331,2020-07-01,0.0,0.0,0.0,0.0,0.0,68.0,0.0
332,2020-07-02,0.0,0.0,0.0,0.0,0.0,68.0,0.0
333,2020-07-03,0.0,0.0,0.0,0.0,0.0,68.0,0.0
334,2020-07-04,0.0,0.0,0.0,0.0,0.0,68.0,0.0
335,2020-07-06,0.0,0.0,0.0,0.0,0.0,70.0,0.0
336,2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0
